feature,weight,abs_weight_rank
z_stoch_k_63,0.8105086520134721,1
z_macd_21_63,0.520099692613356,2
z_rsi_21,0.26939197232805057,3
z_ewma_active_return_63,0.0,4
z_ewma_active_return_21,0.0,4
z_ewma_active_return_8,0.0,4
z_rsi_63,0.0,4
z_rsi_8,0.0,4
z_stoch_k_8,0.0,4
z_macd_8_21,0.0,4
z_stoch_k_21,0.0,4
z_downside_deviation,0.0,4
z_active_beta,0.0,4
z_market_return,0.0,4
z_market_volatility_21,0.0,4
z_market_momentum_21,0.0,4
z_market_volatility_63,0.0,4
z_market_momentum_63,0.0,4
z_volatility_ratio_21_63,0.0,4
z_market_breadth,0.0,4
z_market_breadth_ma_21,0.0,4
z_market_breadth_ma_63,0.0,4
